"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HIF3A"	0.653699818074012	1.30509802051214	0.654668635688224	1.99352458536546	0.0462040341510321	0.0989365634328319
"RNF17"	7.00956967581219	0.918924762928412	0.794684807421618	1.15633865697004	0.247542662211675	0.378423213767665
"RNF11"	4641.73793101367	-0.938875941947661	0.407706728542541	-2.30282179865888	0.0212888715171599	0.0516132923383479
"REM2"	6.6477186703205	1.72042137250719	0.644195305355226	2.67065183214662	0.00757041251728835	0.0210830502800309
"IMP4"	53.4351804469378	-0.033195383396689	0.540546190213213	-0.0614108174244932	0.951032037562301	0.969600574798238
"MZT2B"	6.54694193872411	-1.29492250917816	0.773017591934404	-1.67515270375379	0.0939042745107654	0.177435578486825
"ATRX"	3496.99685519013	-0.543601811182048	0.200381585693541	-2.71283316428796	0.00667106837001252	0.0189407874997282
"PMM2"	197.51337094222	-0.156952752446197	0.285694950803989	-0.549371810753071	0.582750315274171	0.711624940156867
"ASS1"	0.370936811243843	0.451197773320877	0.595235819226337	0.758015157601445	0.448441908643444	NA
"ZNF708"	292.04761159097	-1.08349926642277	0.26955150342961	-4.01963725906547	5.82878155252654e-05	0.000282415194940368
"ZNF878"	18.3209384280501	-0.76783874805992	0.529332238752044	-1.45057997954211	0.146896853463776	0.253072434656618
"LRRTM4"	1.7387298831623	-0.358142514186808	0.775698230843427	-0.461703404682766	0.644294029183577	0.761423989224576
"DYNLRB1"	389.732926263605	-0.0810025024826599	0.370444932101952	-0.218662736248115	0.826912778670559	0.892393348025017
"ZNF704"	11.5754901551802	1.02683804589073	0.596872890787911	1.72036301487113	0.0853664755304268	0.164401903567116
"ZC3H13"	1194.97736088006	0.107422282279012	0.32876139360015	0.32674846977216	0.743858137009137	0.836100723021033
"RNF115"	550.314599387276	0.128107178906126	0.213364774886049	0.600413910752342	0.548230419266269	0.682217053271637
"RNF112"	2.08889199171951	1.72898602196737	0.803470129234266	2.15189832086869	0.0314053635423418	0.0717580815493031
"ZC3H14"	744.950866378807	-0.884343726245418	0.203421939063404	-4.34733701938502	1.37800396017394e-05	7.69312146969858e-05
"SPN"	882.87065938282	0.289976800491633	0.383719341469171	0.755700245344371	0.449828936946039	0.594083357550178
"RNF111"	658.421656438063	0.702762162629418	0.290686122372932	2.41759791245837	0.0156233301013205	0.0394400829252462
"ZC3H18"	108.059462243681	0.583532828527585	0.328097476849929	1.77853494677892	0.0753160376043814	0.148443894445781
"GRIN1"	0.568222007377656	-0.247377051402627	0.637392977835163	-0.388107588261824	0.697936416628109	0.802666333587946
"DHX9"	3337.07118106574	0.420587665611585	0.213458798626273	1.9703458855681	0.048798742956617	0.103272758221845
"NSRP1"	80.9639932144431	1.02155708807286	0.363747921419832	2.80842041402017	0.00497851862207527	0.0147157422710758
"ZNF391"	7.55187031246098	-0.658327739890597	0.801010303376147	-0.821871750108378	0.411149892565752	0.555679866053137
