row.names	logFC	logCPM	PValue	FDR
OLFM4	-9.306478	12.57600895	4.28E-28	3.16E-24
HP	-9.181817	7.76140858	4.58E-26	1.69E-22
PI3	-9.77649	6.48114731	1.47E-25	3.50E-22
ADM	-9.125343	7.32909618	1.90E-25	3.50E-22
HRASLS2	-10.263187	5.73529432	1.14E-24	1.68E-21
CLEC4D	-8.632093	7.23418658	3.81E-24	4.69E-21
CCL20	-10.544206	5.54817639	5.53E-24	5.83E-21
MMP8	-8.072026	10.06995107	1.67E-23	1.54E-20
RNASE10	-9.7149	5.41201389	8.65E-23	7.09E-20
EDN1	-7.965321	6.9624073	3.63E-22	2.68E-19
ISG15	-7.715668	7.87203713	1.08E-21	7.27E-19
LGALS12	-7.611708	6.71521396	6.42E-21	3.95E-18
FAM198B	8.284641	4.70640918	2.31E-20	1.31E-17
TNIP3	-7.902459	5.57992664	3.00E-20	1.58E-17
VILL	-10.956908	3.99651445	3.79E-19	1.86E-16
JUP	-7.507004	5.31978922	5.62E-19	2.59E-16
CCL2	-7.330406	5.46925858	6.18E-19	2.68E-16
CD177	-6.778044	8.50340031	9.49E-19	3.81E-16
C3	-6.870386	6.82546316	9.81E-19	3.81E-16
CHI3L1	-7.020817	6.03926618	1.24E-18	4.39E-16
VNN1	-6.698209	9.24515937	1.25E-18	4.39E-16
GPR84	-6.607194	7.60352925	4.10E-18	1.38E-15
TNFAIP6	-6.563715	7.80301715	5.18E-18	1.66E-15
FAP	-7.055352	4.99800427	8.19E-18	2.52E-15
S100A9	-6.276223	14.08330208	3.09E-17	9.13E-15
FCAR	-6.280734	9.46738578	3.49E-17	9.91E-15
PPAP2B	-6.332486	7.54310982	4.50E-17	1.23E-14
ADAMDEC1	-6.313837	6.92625019	4.96E-17	1.31E-14
SIGLEC5	-6.269823	7.92938321	5.33E-17	1.36E-14
CPNE4	-10.339106	3.39487432	5.69E-17	1.37E-14
SIGLEC1	-6.259773	7.79302979	5.77E-17	1.37E-14
CHL1	-8.321046	3.61025625	6.89E-17	1.59E-14
TREM2	-6.651323	4.96705553	1.37E-16	3.06E-14
CSF3R	-6.069628	10.52502778	1.71E-16	3.72E-14
IL1RN	-6.106097	7.70669789	1.95E-16	4.11E-14
ACSL1	-6.043558	11.02443239	2.09E-16	4.28E-14
SPRY1	-6.072081	6.74890583	3.96E-16	7.91E-14
OAS1	-5.957153	9.71514344	4.68E-16	8.90E-14
GFOD1	-6.092342	6.4746966	4.70E-16	8.90E-14
S100A8	-5.9184	12.94463488	5.77E-16	1.06E-13
CPVL	5.988074	7.02325908	6.13E-16	1.10E-13
ARHGAP29	-6.055912	6.37131133	7.80E-16	1.37E-13
GAPT	6.607443	3.97778261	9.06E-16	1.55E-13
B3GNT5	-6.141079	5.33976153	9.25E-16	1.55E-13
STC1	-8.16389	3.26449934	1.27E-15	2.08E-13
CTSD	-5.849177	8.07996917	1.47E-15	2.37E-13
XPNPEP2	-7.07176	3.6944943	2.14E-15	3.36E-13
PTX3	-5.720932	9.10903756	3.28E-15	5.04E-13
PRAM1	-6.37566	4.07466641	4.08E-15	6.14E-13
SLC24A4	5.831198	5.7474476	4.16E-15	6.15E-13
CDA	-5.964148	5.09098763	5.04E-15	7.29E-13
HBB	5.606118	18.09032642	7.24E-15	1.02E-12
SEMA6D	-6.09002	4.73936181	7.32E-15	1.02E-12
CCL8	-5.81164	5.55823382	8.52E-15	1.16E-12
HNMT	7.224992	2.72127247	1.01E-14	1.35E-12
DAB1	5.744731	5.31535053	1.28E-14	1.68E-12
SNCA	5.563998	8.01479323	1.31E-14	1.70E-12
GJB2	-6.852844	3.15721392	1.43E-14	1.82E-12
INHBA	-7.403798	3.14561973	1.65E-14	2.07E-12
CLEC5A	-5.671199	5.82006499	1.95E-14	2.40E-12
NT5E	-5.665412	5.88715923	2.04E-14	2.47E-12
IL6	-5.953489	4.5555052	2.11E-14	2.51E-12
INHBB	-9.269383	2.3945222	2.24E-14	2.62E-12
AGRN	-7.580775	2.91482714	2.28E-14	2.63E-12
IL2RA	-5.525269	7.27717334	2.50E-14	2.84E-12
TGFBI	5.486286	7.1634381	2.85E-14	3.19E-12
MMP9	-5.512959	6.36251286	3.47E-14	3.82E-12
ADAMTS1	-9.199443	2.3400744	3.90E-14	4.23E-12
SCIN	-5.489705	6.26732378	5.03E-14	5.38E-12
FBP1	-6.498167	3.16720771	5.62E-14	5.93E-12
KCNJ15	-5.369774	7.96416211	6.03E-14	6.27E-12
SLC1A3	-7.617439	2.58060176	6.13E-14	6.28E-12
MS4A1	5.351486	7.97361326	7.12E-14	7.20E-12
P2RY6	-6.68285	2.9654915	7.72E-14	7.70E-12
TREM1	-5.316046	8.72451837	8.58E-14	8.45E-12
DMKN	-9.089676	2.22193628	9.17E-14	8.90E-12
IL1R1	-5.363359	6.66520895	9.69E-14	9.28E-12
MS4A3	-5.52183	5.024232	9.84E-14	9.31E-12
