Fatal_1 Fatal_2 Fatal_3 Survivor_1 Survivor_2 Survivor_3
HIF3A 3 7 1 0 0 0
RNF17 7 25 4 5 2 0
RNF11 3530 2057 3656 6611 4974 3605
REM1 0 0 1 0 0 0
REM2 16 41 33 5 2 10
IMP4 47 51 57 30 43 52
DUOXA2 1 0 1 0 0 0
MZT2B 2 3 0 3 2 13
ATRX 3032 2705 3302 4624 4113 2337
PMM2 220 254 304 216 343 171
ASS1 1 5 1 3 0 0
ZNF708 145 150 187 346 260 243
ZNF878 11 18 10 11 24 23
LRRTM4 3 0 6 0 5 6
DYNLRB1 392 298 416 240 322 358
ZNF704 23 15 16 5 9 5
ZC3H13 1440 1524 1818 1600 1630 574
RNF115 822 678 879 608 901 337
RNF112 3 22 2 0 2 1
ZC3H14 494 449 684 792 786 834
SPN 1375 1039 1205 1084 1117 322
RNF111 1193 981 1337 693 673 395
ZC3H18 118 193 185 79 119 73
GRIN1 0 0 0 0 1 0
SP8 0 0 0 0 0 0
DHX9 3992 4804 6670 3886 3691 2056
NSRP1 122 198 161 86 65 41
ZNF391 9 4 0 5 18 4
SP1 2909 2057 2531 1358 1704 808
SP2 83 91 48 25 23 10
SP4 1396 1003 2050 1028 843 555
SP5 0 0 1 1 1 0
SP6 3 0 2 0 0 0
SP7 5 2 3 5 1 0
GOLIM4 0 0 0 0 0 0
OPA3 59 109 97 8 18 19
RAB40C 6 7 5 1 3 1
RAB40B 0 4 2 1 5 5
FAM162B 0 0 0 0 1 0
COL7A1 17 9 13 1 0 0
GTSE1 58 40 44 3 22 2
ARFRP1 108 114 169 52 54 47
OVCH1 1 3 2 2 2 0
SPPL2C 0 0 0 0 0 0
SPPL2B 14 12 13 1 10 11
NSL1 355 246 452 563 728 406
ITGA9 800 721 400 33 56 19
UGCG 1291 939 1916 416 472 325
ATP2A3 964 655 444 214 298 751
PHF21B 0 2 0 0 0 0
ITGA1 267 214 232 542 729 480
ITGA2 692 351 300 968 1378 987
ITGA3 2 4 1 1 0 2
ITGA4 1601 771 708 13971 13313 5461
RIT2 1 0 1 0 1 0
RIT1 1900 1649 2962 402 432 250
TRHR 0 0 0 1 0 0
